2020-11-17 10:10:50.947 [http-nio-8095-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2020-11-17 10:10:55.899 [http-nio-8095-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' not supported]
2020-11-17 15:25:26.025 [http-nio-8095-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@745485dc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 15:25:26.025 [http-nio-8095-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@32b3aa0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 15:25:31.064 [http-nio-8095-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5c4c3535 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 15:50:29.681 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7fc78bee (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 15:50:34.695 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34c64153 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 15:50:39.697 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e0f8f14 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 15:50:44.721 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3a59daac (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:17:19.031 [http-nio-8095-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@75de9bbd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:17:19.031 [http-nio-8095-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3a9f2257 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:17:24.363 [http-nio-8095-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1c19e7f8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:17:24.520 [http-nio-8095-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5f47621e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:17:29.382 [http-nio-8095-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1bd01a63 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:46:00.067 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4f0649bc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:46:05.121 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5c4e6fb6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:46:10.123 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@63fe46a9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:46:15.160 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ac83e14 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-11-17 17:46:20.191 [http-nio-8095-exec-8] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@240811ba (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
